station,city,state,calculated_AQI,aqi_label,aqi_category,dominant_pollutant_by_AQI,dominant_AQI_subindex,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE
"Police Line, Saharsa - BSPCB",Saharsa,Bihar,82.03,Satisfactory,FULL,PM2.5,82.03,82.03,53.94,18.75,8.75,1.9,1.0,9.0
"DM Office_Kasipur, Samastipur - BSPCB",Samastipur,Bihar,143.9,Moderate,FULL,PM2.5,143.9,143.9,47.0,15.0,10.0,0.3,0.25,6.0
"Dada Peer, Sasaram - BSPCB",Sasaram,Bihar,28.33,Good,PARTIAL_LOW_CONFIDENCE,PM2.5,28.33,28.33,15.0,,,,,
"Chitragupta Nagar, Siwan - BSPCB",Siwan,Bihar,73.87,Satisfactory,FULL,PM2.5,73.87,73.87,53.94,7.5,2.5,3.25,0.25,7.0
"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,63.74,Satisfactory,FULL,PM10,63.74,60.8,63.74,7.5,22.5,1.0,1.75,19.0
"Sector-53, Chandigarh - CPCC",Chandigarh,Chandigarh,40.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,40.0,,,,,1.4,,40.0
"Sector 22, Chandigarh - CPCC",Chandigarh,Chandigarh,50.0,Good,FULL,PM2.5,50.0,50.0,36.0,6.25,13.75,1.7,5.75,31.0
"Hathkhoj, Bhilai - CECB",Bhilai,Chhattisgarh,48.33,Good,FULL,PM2.5,48.33,48.33,31.0,15.0,16.25,0.75,1.75,12.0
"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,Chhattisgarh,20.0,Good,FULL,PM10,20.0,16.67,20.0,12.5,20.0,1.0,0.25,12.0
"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,27.0,Good,FULL,PM10,27.0,23.33,27.0,13.75,18.75,0.6,1.0,10.0
"Mangala, Bilaspur - NTPC",Bilaspur,Chhattisgarh,43.33,Good,PARTIAL_HIGH_CONFIDENCE,PM2.5,43.33,43.33,34.0,20.0,26.25,1.35,,
"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,Bihar,43.33,Good,FULL,PM2.5,43.33,43.33,39.0,15.0,11.25,0.6,0.75,2.0
"Darshan Nagar, Chhapra - BSPCB",Chhapra,Bihar,4.45,Good,PARTIAL_LOW_CONFIDENCE,CO,4.45,,,,,4.45,,2.0
"Collectorate, Gaya - BSPCB",Gaya,Bihar,29.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,29.0,,,,,0.6,,29.0
"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,55.9,Satisfactory,FULL,PM2.5,55.9,55.9,39.0,10.0,31.25,1.1,1.5,16.0
"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,83.67,Satisfactory,FULL,PM2.5,83.67,83.67,70.6,5.0,23.75,1.7,3.0,28.0
"Mirchaibari, Katihar - BSPCB",Katihar,Bihar,48.33,Good,FULL,PM2.5,48.33,48.33,29.0,31.25,11.25,4.5,0.25,26.0
"Forest Rest House, Manguraha - BSPCB",Manguraha,Bihar,83.34,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,83.34,,83.34,25.0,23.75,1.45,0.25,41.0
"Gandak Colony, Motihari - BSPCB",Motihari,Bihar,52.96,Satisfactory,PARTIAL_HIGH_CONFIDENCE,OZONE,52.96,,,3.75,3.75,0.6,0.25,52.96
"Town Hall, Munger - BSPCB",Munger,Bihar,115.56,Moderate,FULL,OZONE,115.56,68.97,59.82,93.88,15.0,1.9,0.75,115.56
"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,352.78,Very Poor,FULL,PM2.5,352.78,352.78,141.26,17.5,52.23,2.55,2.0,7.0
"Patparganj, Delhi - DPCC",Delhi,Delhi,323.08,Very Poor,FULL,PM2.5,323.08,323.08,149.84,15.0,52.23,2.25,2.75,13.0
"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,311.66,Very Poor,FULL,PM2.5,311.66,311.66,118.82,30.0,48.75,1.9,2.0,11.0
"Mundka, Delhi - DPCC",Delhi,Delhi,323.85,Very Poor,FULL,PM2.5,323.85,323.85,135.98,20.0,116.84,2.8,1.75,5.0
"NSUT Jaffarpur, Delhi - DPCC",Delhi,Delhi,331.46,Very Poor,FULL,PM2.5,331.46,331.46,126.74,2.5,10.0,2.5,1.25,11.0
"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,286.8,Poor,FULL,PM2.5,286.8,286.8,122.12,57.12,43.75,5.25,1.75,11.0
"Anand Vihar, Delhi - DPCC",Delhi,Delhi,326.13,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,326.13,326.13,,33.75,32.5,4.7,0.75,16.0
"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,327.65,Very Poor,FULL,PM2.5,327.65,327.65,135.32,31.25,60.8,2.15,1.25,28.0
"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,290.1,Poor,FULL,PM2.5,290.1,290.1,147.86,11.25,64.47,0.85,1.75,19.0
"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,283.5,Poor,FULL,PM2.5,283.5,283.5,132.68,10.0,31.25,5.4,1.75,18.0
"Narela, Delhi - DPCC",Delhi,Delhi,318.52,Very Poor,FULL,PM2.5,318.52,318.52,137.96,15.0,32.5,2.0,2.25,22.0
"Cantonment Area, Delhi - DPCC",Delhi,Delhi,79.42,Satisfactory,FULL,PM10,79.42,64.07,79.42,3.75,20.0,4.05,0.5,6.0
"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,176.9,Moderate,FULL,PM2.5,176.9,176.9,118.16,36.25,71.83,3.7,1.25,14.0
"Bawana, Delhi - DPCC",Delhi,Delhi,352.78,Very Poor,FULL,PM2.5,352.78,352.78,131.36,36.25,23.75,2.45,2.0,16.0
"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,315.47,Very Poor,FULL,PM2.5,315.47,315.47,139.28,13.75,53.45,4.0,1.5,12.0
"Rohini, Delhi - DPCC",Delhi,Delhi,338.32,Very Poor,FULL,PM2.5,338.32,338.32,134.66,16.25,7.5,2.8,1.0,17.0
"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,311.66,Very Poor,FULL,PM2.5,311.66,311.66,130.7,15.0,63.25,3.75,1.75,17.0
"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,328.42,Very Poor,FULL,PM2.5,328.42,328.42,105.62,17.5,69.38,1.0,0.75,11.0
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,43.33,Good,FULL,PM2.5,43.33,43.33,33.0,20.0,5.0,0.9,0.25,30.0
"Buddha Colony, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,54.27,Satisfactory,FULL,PM2.5,54.27,54.27,42.0,6.25,18.75,0.75,2.75,21.0
"Samanpura, Patna - BSPCB",Patna,Bihar,160.4,Moderate,FULL,PM2.5,160.4,160.4,74.52,8.75,18.75,4.2,1.5,45.0
"Muradpur, Patna - BSPCB",Patna,Bihar,59.17,Satisfactory,FULL,PM2.5,59.17,59.17,42.0,10.0,3.75,2.35,1.25,22.0
"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,91.18,Satisfactory,FULL,PM10,91.18,68.97,91.18,16.25,7.5,4.15,1.5,45.0
"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,83.67,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,83.67,83.67,,17.5,5.0,0.45,,38.0
"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,40.0,Good,FULL,PM2.5,40.0,40.0,36.0,12.5,38.75,1.95,0.75,28.0
"Mariam Nagar, Purnia - BSPCB",Purnia,Bihar,22.5,Good,PARTIAL_HIGH_CONFIDENCE,NO2,22.5,,,20.0,22.5,2.55,1.0,22.0
"Dangi Tola, Rajgir - BSPCB",Rajgir,Bihar,38.33,Good,FULL,PM2.5,38.33,38.33,19.0,3.75,17.5,2.15,0.75,15.0
"Rampur, Korba - CECB",Korba,Chhattisgarh,18.33,Good,FULL,PM2.5,18.33,18.33,12.0,5.0,15.0,0.55,0.25,12.0
"OP Jindal School, Kunjemura - CECB",Kunjemura,Chhattisgarh,22.0,Good,FULL,PM10,22.0,15.0,22.0,12.5,15.0,0.8,0.5,4.0
"Govt. Higher Secondary School, Milupara - CECB",Milupara,Chhattisgarh,20.0,Good,FULL,PM10,20.0,15.0,20.0,16.25,11.25,0.75,0.25,9.0
"Krishak Nagar, Raipur - CECB",Raipur,Chhattisgarh,65.7,Satisfactory,FULL,PM2.5,65.7,65.7,62.76,17.5,17.5,1.4,0.5,5.0
"Bhatagaon New ISBT, Raipur - CECB",Raipur,Chhattisgarh,40.0,Good,FULL,PM10,40.0,25.0,40.0,3.75,20.0,1.75,0.5,1.0
"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,70.6,Satisfactory,FULL,PM2.5,70.6,70.6,56.88,5.0,11.25,1.3,0.5,21.0
"Siltara Phase-II, Raipur - CECB",Raipur,Chhattisgarh,75.5,Satisfactory,FULL,PM10,75.5,62.43,75.5,3.75,23.75,1.0,0.5,12.0
"OP Jindal Industrial Park, Tumidih - CECB",Tumidih,Chhattisgarh,20.0,Good,FULL,PM2.5,20.0,20.0,15.0,6.25,18.75,0.65,0.5,8.0
"Sita Rama Nagar, Kurnool - APPCB",Kurnool,Andhra Pradesh,62.43,Satisfactory,FULL,PM2.5,62.43,62.43,36.0,8.75,36.25,0.45,1.25,27.0
"Srinivas Nagar Colony, Machilipatnam - APPCB",Machilipatnam,Andhra Pradesh,107.6,Moderate,FULL,PM2.5,107.6,107.6,64.72,13.75,40.0,1.0,1.0,18.0
"Ambedkar Nagar, Nellore - APPCB",Nellore,Andhra Pradesh,98.37,Satisfactory,FULL,PM2.5,98.37,98.37,60.8,20.0,35.0,1.8,1.5,24.0
"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,34.0,Good,PARTIAL_HIGH_CONFIDENCE,PM10,34.0,,34.0,7.5,6.25,0.7,0.75,26.0
"Toll Gate, Tirumala - APPCB",Tirumala,Andhra Pradesh,68.15,Satisfactory,FULL,NO2,68.15,33.33,27.0,7.5,68.15,0.8,0.75,27.0
"Vaikuntapuram, Tirupati - APPCB",Tirupati,Andhra Pradesh,33.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,33.0,,,,,1.0,,33.0
"HB Colony, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,95.1,Satisfactory,FULL,PM2.5,95.1,95.1,62.76,15.0,27.5,2.1,1.25,18.0
"Rajiv Gandhi Park, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,18.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,18.0,,,,,1.4,,18.0
"Naharlagun, Naharlagun - APSPCB",Naharlagun,Arunachal Pradesh,55.9,Satisfactory,FULL,PM2.5,55.9,55.9,39.0,15.0,11.25,0.4,0.25,7.0
"Central Academy for SFS, Byrnihat - PCBA",Byrnihat,Assam,180.2,Moderate,FULL,PM2.5,180.2,180.2,77.46,40.0,10.0,2.95,1.0,17.0
"LGBI Airport, Guwahati - PCBA",Guwahati,Assam,90.2,Satisfactory,FULL,PM2.5,90.2,90.2,43.0,13.75,18.75,1.2,1.25,12.0
"Railway Colony, Guwahati - PCBA",Guwahati,Assam,52.63,Satisfactory,FULL,PM2.5,52.63,52.63,33.0,7.5,3.75,0.35,0.25,11.0
"Christianpatty, Nagaon - PCBA",Nagaon,Assam,95.1,Satisfactory,FULL,PM2.5,95.1,95.1,50.0,13.75,1.25,0.7,1.0,7.0
"Bata Chowk, Nalbari - PCBA",Nalbari,Assam,137.3,Moderate,FULL,PM2.5,137.3,137.3,52.96,10.0,26.25,1.1,1.5,19.0
"Tarapur, Silchar - PCBA",Silchar,Assam,46.67,Good,FULL,PM2.5,46.67,46.67,39.0,5.0,22.5,1.65,0.25,7.0
"Girls College, Sivasagar - PCBA",Sivasagar,Assam,37.0,Good,FULL,PM10,37.0,36.67,37.0,10.0,15.0,0.9,0.5,11.0
"Kharahiya Basti, Araria - BSPCB",Araria,Bihar,90.2,Satisfactory,FULL,PM2.5,90.2,90.2,55.9,25.0,17.5,1.25,1.0,41.0
"New DM Office, Arrah - BSPCB",Arrah,Bihar,59.17,Satisfactory,FULL,PM2.5,59.17,59.17,42.0,6.25,8.75,2.7,0.5,7.0
"Lohiyanagar, Begusarai - BSPCB",Begusarai,Bihar,55.9,Satisfactory,FULL,PM2.5,55.9,55.9,27.0,17.5,11.25,2.9,0.75,46.0
"Kamalnath Nagar, Bettiah - BSPCB",Bettiah,Bihar,38.33,Good,FULL,PM2.5,38.33,38.33,21.0,17.5,33.75,1.55,0.75,13.0
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bhagalpur,Bihar,70.6,Satisfactory,FULL,PM2.5,70.6,70.6,69.62,27.5,26.25,1.4,1.0,18.0
"Mayaganj, Bhagalpur - BSPCB",Bhagalpur,Bihar,77.13,Satisfactory,FULL,PM2.5,77.13,77.13,42.0,68.15,27.5,3.5,1.0,19.0
"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,22.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,22.0,,,,,1.55,,22.0
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,36.25,Good,PARTIAL_HIGH_CONFIDENCE,NO2,36.25,,,25.0,36.25,0.75,2.0,29.0
"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,91.83,Satisfactory,FULL,PM2.5,91.83,91.83,57.86,16.25,5.0,0.8,1.0,13.0
"Rajendra Nagar North, Guntur - APPCB",Guntur,Andhra Pradesh,90.2,Satisfactory,FULL,PM2.5,90.2,90.2,57.86,16.25,47.5,0.95,2.0,19.0
"Yerramukkapalli, Kadapa - APPCB",Kadapa,Andhra Pradesh,150.5,Moderate,FULL,PM2.5,150.5,150.5,65.7,18.75,25.0,1.2,1.0,37.0
"Rama Rao Peta, Kakinada - APPCB",Kakinada,Andhra Pradesh,57.53,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,57.53,57.53,45.0,13.75,33.75,,1.5,33.0
"Sadanand Nagar, Mehsana - Nexteng Enviro",Mehsana,Gujarat,93.14,Satisfactory,FULL,PM10,93.14,82.03,93.14,18.75,8.75,2.2,0.0,10.0
"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,Gujarat,173.6,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,173.6,173.6,82.36,3.75,40.0,2.25,,
"Mavdi, Rajkot - Nexteng Enviro",Rajkot,Gujarat,134.0,Moderate,FULL,PM2.5,134.0,134.0,85.3,23.75,15.0,1.5,0.25,10.0
"Science Center, Surat - SMC",Surat,Gujarat,107.6,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,107.6,107.6,54.92,21.25,7.5,3.2,,
"Katargam, Surat - Nexteng Enviro",Surat,Gujarat,85.3,Satisfactory,FULL,PM2.5,85.3,85.3,68.64,13.75,7.5,1.6,0.25,16.0
"Bapunagar, Vadodara - Nexteng Enviro",Vadodara,Gujarat,83.67,Satisfactory,FULL,PM2.5,83.67,83.67,81.38,11.25,16.25,4.35,0.5,6.0
"Phase-1 GIDC, Vapi - GPCB",Vapi,Gujarat,75.5,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,75.5,75.5,61.78,22.5,25.0,,1.0,6.0
"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,240.6,Poor,FULL,PM2.5,240.6,240.6,118.82,59.58,7.5,1.6,1.5,23.0
"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,327.65,Very Poor,FULL,PM2.5,327.65,327.65,117.5,8.75,26.25,1.35,2.0,18.0
"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,134.0,Moderate,FULL,PM2.5,134.0,134.0,82.36,3.75,25.0,1.1,1.0,19.0
"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,267.0,Poor,FULL,PM2.5,267.0,267.0,92.16,16.25,22.5,2.4,2.75,20.0
"Municipal Corporation Office, Dharuhera -  HSPCB",Dharuhera,Haryana,308.62,Very Poor,FULL,PM2.5,308.62,308.62,102.98,11.25,25.0,2.35,1.5,22.0
"Sector 30, Faridabad - HSPCB",Faridabad,Haryana,100.0,Satisfactory,FULL,PM10,100.0,98.37,100.0,2.5,46.25,1.3,1.75,18.0
"Sector 11, Faridabad - HSPCB",Faridabad,Haryana,73.87,Satisfactory,FULL,PM2.5,73.87,73.87,53.94,7.5,38.75,3.2,1.5,6.0
"New Industrial Town, Faridabad - HSPCB",Faridabad,Haryana,14.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,14.0,,,,,1.4,,14.0
"Huda Sector, Fatehabad - HSPCB",Fatehabad,Haryana,114.2,Moderate,FULL,PM2.5,114.2,114.2,89.22,33.75,23.75,2.9,3.5,33.0
"Sector-51, Gurugram - HSPCB",Gurugram,Haryana,320.04,Very Poor,FULL,PM2.5,320.04,320.04,130.04,11.25,30.0,1.25,2.0,27.0
"Vikas Sadan, Gurugram - HSPCB",Gurugram,Haryana,488.58,Severe,PARTIAL_HIGH_CONFIDENCE,PM2.5,488.58,488.58,215.85,22.5,8.75,2.95,,11.0
"Teri Gram, Gurugram - HSPCB",Gurugram,Haryana,358.12,Very Poor,FULL,PM2.5,358.12,358.12,124.76,16.25,43.75,1.8,2.75,20.0
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,67.33,Satisfactory,FULL,PM2.5,67.33,67.33,51.98,13.75,15.0,0.45,0.0,25.0
"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,66.68,Satisfactory,FULL,PM10,66.68,64.07,66.68,27.5,28.75,1.15,0.75,23.0
"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,92.16,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,92.16,48.33,92.16,18.75,30.0,,1.25,21.0
"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,112.88,Moderate,FULL,PM10,112.88,73.87,112.88,25.0,10.0,2.2,0.25,15.0
"Urban, Chamarajanagar - KSPCB",Chamarajanagar,Karnataka,48.33,Good,FULL,PM2.5,48.33,48.33,44.0,5.0,35.0,0.9,0.5,26.0
"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,Karnataka,46.0,Good,FULL,PM10,46.0,43.33,46.0,22.5,5.0,0.45,0.25,19.0
"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,Karnataka,32.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,32.0,,,,,5.7,,32.0
"Kalabhavan, Dharwad - KSPCB",Dharwad,Karnataka,31.25,Good,PARTIAL_HIGH_CONFIDENCE,NO2,31.25,,,10.0,31.25,1.75,1.5,24.0
"Lingaraj Nagar, Hubballi - KSPCB",Hubballi,Karnataka,68.97,Satisfactory,FULL,PM2.5,68.97,68.97,56.88,2.5,11.25,0.7,0.5,18.0
"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",Kalaburagi,Karnataka,35.0,Good,FULL,PM2.5,35.0,35.0,28.0,3.75,16.25,1.65,0.5,14.0
"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,Karnataka,20.0,Good,SINGLE_POLLUTANT_ONLY,OZONE,20.0,,,,,,,20.0
"Kadri, Mangalore - KSPCB",Mangalore,Karnataka,72.23,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,72.23,72.23,45.0,,5.0,,0.5,35.0
"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,Karnataka,73.54,Satisfactory,FULL,PM10,73.54,64.07,73.54,5.0,22.5,0.25,1.0,9.0
"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,Karnataka,54.92,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,54.92,54.27,54.92,22.5,,1.45,,22.0
"Vinoba Nagara, Shivamogga - KSPCB",Shivamogga,Karnataka,51.98,Satisfactory,FULL,OZONE,51.98,33.33,33.0,7.5,32.5,1.2,0.5,51.98
"Brahmagiri, Udupi - KSPCB",Udupi,Karnataka,52.63,Satisfactory,FULL,PM2.5,52.63,52.63,37.0,10.0,13.75,2.9,0.5,15.0
"Udyogamandal, Eloor - Kerala PCB",Eloor,Kerala,207.6,Poor,FULL,PM2.5,207.6,207.6,67.66,2.5,7.5,5.4,0.0,29.0
"Thavakkara, Kannur - Kerala PCB",Kannur,Kerala,28.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,28.0,,,,,1.05,,28.0
"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,102.32,Moderate,FULL,PM10,102.32,54.27,102.32,17.5,43.75,1.7,2.25,67.66
"Aya Nagar, Delhi - IITM",Delhi,Delhi,293.4,Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,293.4,293.4,109.58,,16.25,3.5,,34.0
"CRRI Mathura Road, Delhi - IITM",Delhi,Delhi,325.37,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,325.37,325.37,180.2,,35.0,4.4,,23.0
"Burari Crossing, Delhi - IITM",Delhi,Delhi,302.52,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,302.52,302.52,121.46,,54.67,2.5,,51.98
"IMD Lodhi Road, Delhi - IITM",Delhi,Delhi,186.8,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,186.8,186.8,121.46,,28.75,1.2,,54.92
"JNU, Delhi - DPCC",Delhi,Delhi,283.5,Poor,FULL,PM2.5,283.5,283.5,106.28,7.5,47.5,4.0,0.5,17.0
"ITO, Delhi - CPCB",Delhi,Delhi,186.8,Moderate,FULL,PM2.5,186.8,186.8,112.22,27.5,75.5,2.75,1.0,21.0
"R K Puram, Delhi - DPCC",Delhi,Delhi,316.99,Very Poor,FULL,PM2.5,316.99,316.99,142.58,37.5,65.7,3.05,1.75,14.0
"North Campus, DU, Delhi - IITM",Delhi,Delhi,342.88,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,342.88,342.88,143.9,,161.39,3.85,,57.86
"Alipur, Delhi - DPCC",Delhi,Delhi,309.38,Very Poor,FULL,PM2.5,309.38,309.38,132.02,11.25,70.6,1.9,1.5,10.0
"Amity University, Panchgaon - IITM",Panchgaon,Haryana,74.28,Satisfactory,PARTIAL_HIGH_CONFIDENCE,NO2,74.28,5.0,19.0,18.75,74.28,,1.5,11.0
"MD University, Rohtak - HSPCB",Rohtak,Haryana,193.4,Moderate,PARTIAL_HIGH_CONFIDENCE,PM2.5,193.4,193.4,98.04,12.5,12.5,1.8,,18.0
"F-Block, Sirsa - HSPCB",Sirsa,Haryana,111.56,Moderate,FULL,PM10,111.56,93.47,111.56,47.5,25.0,4.9,3.5,43.0
"Murthal, Sonipat - HSPCB",Sonipat,Haryana,147.2,Moderate,FULL,PM2.5,147.2,147.2,80.4,82.85,8.75,1.05,2.25,51.98
"Gobind Pura, Yamuna Nagar - HSPCB",Yamuna Nagar,Haryana,333.75,Very Poor,FULL,PM2.5,333.75,333.75,114.86,15.0,20.0,2.3,1.0,42.0
"HIMUDA Complex Phase-1, Baddi - HPPCB",Baddi,Himachal Pradesh,193.4,Moderate,FULL,PM2.5,193.4,193.4,97.06,1.25,15.0,1.2,0.5,66.68
"Rajbagh, Srinagar - JKPCC",Srinagar,Jammu and Kashmir,54.27,Satisfactory,FULL,PM2.5,54.27,54.27,51.98,3.75,23.75,0.6,2.25,1.0
"Sardar Patel Nagar, Dhanbad - JSPCB",Dhanbad,Jharkhand,120.8,Moderate,PARTIAL_LOW_CONFIDENCE,NO2,120.8,,,,120.8,0.7,,26.0
"Rakhial, Ahmedabad - IITM",Ahmedabad,Gujarat,345.17,Very Poor,FULL,PM2.5,345.17,345.17,118.82,53.45,129.71,0.45,6.5,5.0
"SAC ISRO Satellite, Ahmedabad - IITM",Ahmedabad,Gujarat,93.47,Satisfactory,FULL,PM2.5,93.47,93.47,93.14,5.0,31.25,1.5,0.5,3.0
"Gyaspur, Ahmedabad - IITM",Ahmedabad,Gujarat,157.1,Moderate,FULL,PM2.5,157.1,157.1,114.2,16.25,26.25,0.8,0.5,9.0
"Raikhad, Ahmedabad - IITM",Ahmedabad,Gujarat,147.2,Moderate,FULL,PM2.5,147.2,147.2,92.16,6.25,17.5,1.65,0.5,11.0
"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,270.3,Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,270.3,270.3,88.24,32.5,28.75,0.05,,53.94
"SAC ISRO Bopal, Ahmedabad - IITM",Ahmedabad,Gujarat,230.7,Poor,FULL,PM2.5,230.7,230.7,92.16,2.5,22.5,1.05,0.75,15.0
"Vidhyanagar, Bhavnagar - Nexteng Enviro",Bhavnagar,Gujarat,85.3,Satisfactory,FULL,PM2.5,85.3,85.3,65.7,10.0,46.25,3.35,1.25,4.0
"Sector-10, Gandhinagar - GPCB",Gandhinagar,Gujarat,150.5,Moderate,FULL,PM2.5,150.5,150.5,102.98,7.5,11.25,0.85,0.25,6.0
"GIFT City, Gandhinagar - IITM",Gandhinagar,Gujarat,313.18,Very Poor,FULL,PM2.5,313.18,313.18,130.04,7.5,41.25,0.95,1.5,14.0
"Shadipur, Delhi - CPCB",Delhi,Delhi,117.5,Moderate,FULL,PM2.5,117.5,117.5,115.52,8.75,87.75,2.45,1.5,11.0
"Mandir Marg, Delhi - DPCC",Delhi,Delhi,214.2,Poor,FULL,PM2.5,214.2,214.2,122.12,25.0,33.75,2.0,2.75,22.0
"Pusa, Delhi - DPCC",Delhi,Delhi,293.4,Poor,FULL,PM2.5,293.4,293.4,122.78,12.5,60.8,4.05,1.0,7.0
"Sirifort, Delhi - CPCB",Delhi,Delhi,323.85,Very Poor,FULL,PM2.5,323.85,323.85,147.2,32.5,37.5,2.65,1.5,15.0
"Pusa, Delhi - IITM",Delhi,Delhi,332.98,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,332.98,332.98,117.5,,31.25,2.15,,52.96
"IIT Delhi, Delhi - IITM",Delhi,Delhi,41.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,41.0,,,,,1.6,,41.0
"IGNOU_Maidan Garhi, Delhi - DPCC",Delhi,Delhi,116.84,Moderate,FULL,PM10,116.84,52.63,116.84,8.75,42.5,4.15,0.25,7.0
"Commonwealth Sports Complex, Delhi - DPCC",Delhi,Delhi,326.89,Very Poor,FULL,PM2.5,326.89,326.89,118.82,16.25,38.75,4.4,0.5,44.0
"Police Lines, Jind - HSPCB",Jind,Haryana,361.92,Very Poor,FULL,PM2.5,361.92,361.92,97.06,35.0,16.25,0.3,1.25,10.0
"Rishi Nagar, Kaithal - HSPCB",Kaithal,Haryana,224.1,Poor,FULL,PM2.5,224.1,224.1,108.92,38.75,27.5,1.05,1.25,76.48
"Sector-7, Kurukshetra - HSPCB",Kurukshetra,Haryana,210.9,Poor,FULL,PM2.5,210.9,210.9,103.64,10.0,8.75,1.45,1.25,11.0
"General Hospital, Mandikhera(Nuh) - HSPCB",Mandikhera,Haryana,49.0,Good,FULL,PM10,49.0,40.0,49.0,27.5,42.5,3.1,3.5,26.0
"Sector-2 IMT, Manesar - HSPCB",Manesar,Haryana,345.17,Very Poor,FULL,PM2.5,345.17,345.17,110.9,17.5,37.5,1.7,2.75,22.0
"Shastri Nagar, Narnaul - HSPCB",Narnaul,Haryana,237.3,Poor,FULL,PM2.5,237.3,237.3,110.24,5.0,30.0,1.35,0.5,27.0
