station,city,state,calculated_AQI,aqi_label,aqi_category,dominant_pollutant_by_AQI,dominant_AQI_subindex,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE
"Shrinath Puram, Kota - RSPCB",Kota,Rajasthan,82.36,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,82.36,,82.36,8.75,11.25,3.05,1.0,7.0
"Karni Colony, Nagaur - RSPCB",Nagaur,Rajasthan,132.02,Moderate,FULL,PM10,132.02,95.1,132.02,3.75,35.0,1.75,2.25,40.0
"Pragati Nagar, Pratapgarh - RSPCB",Pratapgarh,Rajasthan,190.1,Moderate,FULL,PM2.5,190.1,190.1,83.34,3.75,16.25,1.1,1.25,49.0
"Jhunsi, Prayagraj - UPPCB",Prayagraj,Uttar Pradesh,48.33,Good,FULL,PM2.5,48.33,48.33,38.0,27.5,7.5,1.4,1.5,40.0
"Indira Nagar, Raebareli - NTPC Unchahar",Raebareli,Uttar Pradesh,8.0,Good,SINGLE_POLLUTANT_ONLY,OZONE,8.0,,,,,,,8.0
"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,74.52,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM10,74.52,59.17,74.52,16.25,26.25,2.9,,55.9
"Maldahiya, Varanasi - UPPCB",Varanasi,Uttar Pradesh,7.0,Good,PARTIAL_LOW_CONFIDENCE,OZONE,7.0,,,,,0.7,,7.0
"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,72.23,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,72.23,72.23,59.82,7.5,27.5,0.7,,13.0
"Bhelupur, Varanasi - UPPCB",Varanasi,Uttar Pradesh,342.12,Very Poor,FULL,PM2.5,342.12,342.12,140.6,42.5,10.0,0.4,0.25,9.0
"IESD Banaras Hindu University, Varanasi - UPPCB",Varanasi,Uttar Pradesh,57.53,Satisfactory,FULL,PM2.5,57.53,57.53,52.96,43.75,2.5,0.1,0.0,5.0
